website,year,min,max,q1,q2,q3
android,2008,nan,nan,nan,nan,nan
android,2009,nan,nan,nan,nan,nan
android,2010,nan,nan,nan,nan,nan
android,2011,38.2773333333,8738.37571667,727.423216667,3093.39321667,8738.37571667
android,2012,21.3083333333,1466.06521667,81.5187291667,113.261666667,1166.95081667
android,2013,8.02021666667,24985.4120667,99.9858333333,4475.34216667,19366.9412583
android,2014,4.29038333333,2447.97155,63.7638166667,292.3028,1069.1530125
android,2015,4.02121666667,1518.31333333,135.341633333,790.494883333,1204.663275
android,2016,21.8549,4156.9696,125.874,277.74255,4156.9696
android,2017,nan,nan,nan,nan,nan
