website,year,min,max,q1,q2,q3
dba,2008,nan,nan,nan,nan,nan
dba,2009,8.00988333333,8.00988333333,8.00988333333,8.00988333333,8.00988333333
dba,2010,nan,nan,nan,nan,nan
dba,2011,2.94888333333,547.743283333,22.3731791667,68.0660583333,383.264158333
dba,2012,0.0,1131.27211667,23.1442208333,84.749975,487.479554167
dba,2013,4.9615,702.3095,20.7923833333,74.6467166667,335.19
dba,2014,1.518,1099.02745,25.9644208333,122.032216667,532.229608333
dba,2015,0.0,1274.75423333,41.45965,112.558675,561.572066667
dba,2016,3.5366,3531.15233333,47.7857125,215.49775,1574.91051667
dba,2017,0.942,1062.924,29.1294166667,101.447333333,453.705033333
