website,year,min,max,q1,q2,q3
serverfault,2008,nan,nan,nan,nan,nan
serverfault,2009,0.00366666666667,837.502166667,12.7728625,60.5613083333,356.6081375
serverfault,2010,1.62605,967.230833333,14.5342,59.1928,415.9226125
serverfault,2011,1.40728333333,799.305233333,15.5708083333,52.49495,333.072141667
serverfault,2012,0.00445,2283.66561667,17.8237333333,71.60975,983.424516667
serverfault,2013,0.0,2189.71176667,21.730775,81.8394,1047.53538333
serverfault,2014,2.23356666667,3478.42166667,21.51405,84.3502333333,1636.00521667
serverfault,2015,0.0,4008.27421667,43.2103208333,218.71695,1904.02880833
serverfault,2016,0.0,4154.601,27.7108083333,191.903333333,1767.79305
serverfault,2017,0.0,2587.25221667,37.5428583333,97.9900833333,1250.16263333
