website,year,min,max,q1,q2,q3
softwareEng,2008,nan,nan,nan,nan,nan
softwareEng,2009,nan,nan,nan,nan,nan
softwareEng,2010,20.284,114.966266667,43.9545666667,67.6251333333,91.2957
softwareEng,2011,1.59876666667,176.41845,12.6192833333,43.97645,113.483833333
softwareEng,2012,7.23371666667,183.569233333,23.7122166667,44.6007166667,183.569233333
softwareEng,2013,5.50766666667,1186.16166667,10.6181166667,63.82045,754.642216667
softwareEng,2014,8.35045,169.777883333,22.7520125,58.3015,165.9081625
softwareEng,2015,5.55966666667,346.52595,21.1343333333,52.3386666667,203.2661125
softwareEng,2016,16.1957833333,1146.02533333,26.002375,32.535075,611.492220833
softwareEng,2017,21.72755,2273.66605,66.8346666667,141.762783333,1051.07193333
