website,year,min,max,q1,q2,q3
stackoverflow,2008,0.223883333333,1555.68816667,9.95087083333,45.4762166667,683.17275
stackoverflow,2009,0.72,1013.7289,10.3192666667,39.9726416667,413.880966667
stackoverflow,2010,0.7489,1632.02183333,11.2505041667,47.7187,672.804191667
stackoverflow,2011,0.881,1828.64595,10.4178541667,46.963525,741.1905625
stackoverflow,2012,0.0,2693.26966667,12.5574416667,65.412925,1092.9067125
stackoverflow,2013,0.0,2841.56106667,13.4470583333,78.4331083333,1146.79029167
stackoverflow,2014,0.0,2759.08883333,20.1022333333,111.942116667,1116.39855
stackoverflow,2015,0.0,3208.3375,23.8009333333,139.911641667,1308.52677917
stackoverflow,2016,0.0,3300.37193333,25.80245,151.855883333,1338.63858333
stackoverflow,2017,0.0,3115.2124,29.4878333333,176.5016,1265.78245
