website,year,min,max,q1,q2,q3
superuser,2008,nan,nan,nan,nan,nan
superuser,2009,2.20633333333,473.663116667,8.91596666667,26.8685833333,258.899204167
superuser,2010,1.30083333333,1253.02316667,14.1757333333,106.624616667,609.119666667
superuser,2011,1.20745,755.17945,16.153,49.489,321.807283333
superuser,2012,1.04633333333,11546.7026667,32.5111583333,114.5385,4646.91347083
superuser,2013,2.95556666667,2858.57405,33.0516666667,173.265333333,1181.47678333
superuser,2014,0.0,4196.27755,17.75295,147.21995,1839.43978333
superuser,2015,0.0,4605.23983333,68.2564125,268.519416667,1977.82288333
superuser,2016,3.37056666667,3140.68183333,38.4095583333,173.702333333,2974.65695833
superuser,2017,5.85778333333,1237.05128333,32.2591166667,159.59805,548.316216667
